Geração 1: Melhor=6597.87, Médio=6553.66, Pior=6522.20
Geração 2: Melhor=6601.81, Médio=4778.86, Pior=3732.99
Geração 3: Melhor=6601.81, Médio=6139.93, Pior=6015.22
Geração 4: Melhor=6601.81, Médio=4442.92, Pior=2303.71
Geração 5: Melhor=6601.81, Médio=4661.50, Pior=3673.94
Geração 6: Melhor=6608.67, Médio=4953.97, Pior=119.74
Geração 7: Melhor=6608.67, Médio=6385.44, Pior=5927.31
Geração 8: Melhor=6608.67, Médio=-443.65, Pior=-443.68
Geração 9: Melhor=6608.67, Médio=3695.33, Pior=3686.77
Geração 10: Melhor=6608.67, Médio=3741.53, Pior=-2419.25
Geração 11: Melhor=6608.67, Médio=-3426.37, Pior=-11835.41
Geração 12: Melhor=6608.67, Médio=3423.61, Pior=2317.86
Geração 13: Melhor=6608.67, Médio=6441.51, Pior=6144.48
Geração 14: Melhor=6608.67, Médio=6061.85, Pior=6008.30
Geração 15: Melhor=6608.67, Médio=5948.07, Pior=3732.59
Geração 16: Melhor=6608.67, Médio=3938.02, Pior=-2416.13
Geração 17: Melhor=6608.67, Médio=4126.66, Pior=2314.95
Geração 18: Melhor=6608.67, Médio=-9785.91, Pior=-11872.75
Geração 19: Melhor=6608.67, Médio=-90.02, Pior=-441.76
Geração 20: Melhor=6608.67, Médio=201.22, Pior=-2402.51
Geração 21: Melhor=6608.67, Médio=3828.07, Pior=2293.64
Geração 22: Melhor=6608.67, Médio=4688.81, Pior=2355.52
Geração 23: Melhor=6608.67, Médio=6377.47, Pior=6167.89
Geração 24: Melhor=6608.67, Médio=5398.80, Pior=2180.67
Geração 25: Melhor=6608.67, Médio=4306.71, Pior=3730.87
Geração 26: Melhor=6608.67, Médio=2820.62, Pior=-442.73
Geração 27: Melhor=6608.67, Médio=5897.98, Pior=2328.32
Geração 28: Melhor=6608.67, Médio=-445.80, Pior=-445.84
Geração 29: Melhor=6608.67, Médio=3877.80, Pior=3682.20
Geração 30: Melhor=6608.67, Médio=6048.79, Pior=5993.20
Geração 31: Melhor=6608.67, Médio=-443.75, Pior=-443.77
Geração 32: Melhor=6608.67, Médio=4918.91, Pior=2290.42
Geração 33: Melhor=6608.67, Médio=4230.81, Pior=-2412.81
Geração 34: Melhor=6608.67, Médio=4231.32, Pior=2307.59
Geração 35: Melhor=6608.67, Médio=4526.78, Pior=3705.27
Geração 36: Melhor=6612.26, Médio=4830.39, Pior=3712.77
Geração 37: Melhor=6612.26, Médio=6268.09, Pior=6054.54
Geração 38: Melhor=6612.26, Médio=6407.88, Pior=6080.55
Geração 39: Melhor=6612.26, Médio=6437.76, Pior=6124.57
Geração 40: Melhor=6612.26, Médio=3658.38, Pior=3627.54
Geração 41: Melhor=6612.26, Médio=4732.49, Pior=2160.59
Geração 42: Melhor=6612.26, Médio=6518.05, Pior=6483.00
Geração 43: Melhor=6612.26, Médio=4186.05, Pior=2293.84
Geração 44: Melhor=6613.64, Médio=5780.31, Pior=3726.03
Geração 45: Melhor=6613.64, Médio=6047.48, Pior=5987.10
Geração 46: Melhor=6623.09, Médio=4967.91, Pior=3730.30
Geração 47: Melhor=6623.09, Médio=-443.33, Pior=-443.36
Geração 48: Melhor=6623.09, Médio=4374.71, Pior=3705.71
Geração 49: Melhor=6623.09, Médio=4322.84, Pior=2242.40
Geração 50: Melhor=6623.09, Médio=5773.73, Pior=2321.75
Geração 1: Melhor=6614.59, Médio=4801.60, Pior=3730.41
Geração 2: Melhor=6614.59, Médio=5905.49, Pior=3703.17
Geração 3: Melhor=6614.59, Médio=786.96, Pior=-11855.31
Geração 4: Melhor=6614.59, Médio=6482.02, Pior=6415.83
Geração 5: Melhor=6614.59, Médio=6212.82, Pior=5997.25
Geração 6: Melhor=6614.59, Médio=4820.52, Pior=-2419.70
Geração 7: Melhor=6614.59, Médio=3365.26, Pior=2275.49
Geração 8: Melhor=6614.59, Médio=4659.11, Pior=3732.54
Geração 9: Melhor=6614.59, Médio=3563.76, Pior=2282.48
Geração 10: Melhor=6614.59, Médio=-451.86, Pior=-451.90
Geração 11: Melhor=6614.59, Médio=-451.65, Pior=-451.69
Geração 12: Melhor=6614.59, Médio=5674.69, Pior=2296.95
Geração 13: Melhor=6614.59, Médio=5633.37, Pior=2244.86
Geração 14: Melhor=6614.59, Médio=4302.06, Pior=3723.99
Geração 15: Melhor=6614.59, Médio=5010.41, Pior=2297.41
Geração 16: Melhor=6614.59, Médio=6341.53, Pior=3736.12
Geração 17: Melhor=6614.59, Médio=1914.92, Pior=-2410.64
Geração 18: Melhor=6614.59, Médio=4298.82, Pior=2288.76
Geração 19: Melhor=6614.59, Médio=6439.31, Pior=6098.62
Geração 20: Melhor=6614.59, Médio=3736.62, Pior=3693.50
Geração 21: Melhor=6614.59, Médio=6511.74, Pior=6486.16
Geração 22: Melhor=6614.59, Médio=6519.58, Pior=6149.77
Geração 23: Melhor=6614.59, Médio=6056.01, Pior=6004.54
Geração 24: Melhor=6614.59, Médio=5672.95, Pior=2303.71
Geração 25: Melhor=6614.59, Médio=6117.00, Pior=6002.29
Geração 26: Melhor=6614.59, Médio=6156.92, Pior=5855.60
Geração 27: Melhor=6614.59, Médio=4656.02, Pior=3708.44
Geração 28: Melhor=6614.59, Médio=3196.70, Pior=2286.84
Geração 29: Melhor=6614.59, Médio=6513.15, Pior=6482.07
Geração 30: Melhor=6614.59, Médio=-441.80, Pior=-441.83
Geração 31: Melhor=6614.59, Médio=4941.94, Pior=3710.88
Geração 32: Melhor=6614.59, Médio=6435.14, Pior=6067.20
